Name Band MJD Mag Magerr
2006F U 53754.15707 19.926 0.227
2006F U 53759.14323 20.531 0.347
2006F U 53762.10907 20.584 0.324
2006F U 53766.21582 20.872 0.488
2006F B 53754.13172 19.251 0.079
2006F B 53759.14017 20.094 0.102
2006F B 53765.16585 20.57 0.165
2006F B 53766.20912 20.534 0.132
2006F B 53777.14873 20.551 0.456
2006F B 53780.12407 21.091 0.326
2006F V 53752.22414 18.006 0.04
2006F V 53754.12609 17.942 0.043
2006F V 53754.15383 18.014 0.04
2006F V 53759.13454 18.289 0.035
2006F V 53762.09671 18.527 0.04
2006F V 53765.16021 18.787 0.05
2006F V 53766.20347 18.85 0.054
2006F V 53777.13896 19.786 0.146
2006F V 53779.15216 19.755 0.178
2006F V 53786.14257 19.906 0.187
2006F r 53752.22652 17.535 0.026
2006F r 53759.1369 17.791 0.028
2006F r 53762.0991 17.976 0.033
2006F r 53765.16258 18.241 0.034
2006F r 53766.20584 18.279 0.029
2006F r 53777.13564 19.002 0.068
2006F r 53779.14742 19.16 0.155
2006F r 53785.13089 19.011 0.287
2006F r 53786.13782 19.253 0.269
2006F i 53752.22811 17.474 0.031
2006F i 53759.13849 17.6 0.028
2006F i 53762.10072 17.698 0.034
2006F i 53765.16418 17.933 0.036
2006F i 53766.20746 17.943 0.031
2006F i 53777.13723 18.72 0.153
2006F i 53779.14973 18.811 0.151
2006F i 53780.1112 18.926 0.18
2006F i 53785.13321 18.896 0.178
2006F i 53786.14015 19.08 0.167
