Name Band MJD Mag Magerr
2008bn U 54560.32109 16.9677 0.039
2008bn U 54561.25769 17.0572 0.041
2008bn U 54564.28103 17.2211 0.043
2008bn U 54566.31203 17.2997 0.0415
2008bn U 54567.33812 17.5146 0.056
2008bn U 54568.29544 17.5419 0.0665
2008bn U 54569.29866 17.4798 0.062
2008bn U 54570.27131 17.6613 0.086
2008bn U 54574.26591 18.116 0.232
2008bn U 54579.26767 18.6307 0.165
2008bn U 54583.23992 19.0189 0.132
2008bn U 54587.15173 19.7122 0.205
2008bn U 54590.35504 19.6799 0.29
2008bn B 54560.31551 17.5027 0.024
2008bn B 54561.25212 17.5756 0.025
2008bn B 54564.27546 17.677 0.026
2008bn B 54566.30647 17.8172 0.0245
2008bn B 54567.33257 17.8342 0.025
2008bn B 54568.28988 17.8179 0.028
2008bn B 54569.29493 17.8069 0.0305
2008bn B 54570.26575 17.8456 0.034
2008bn B 54572.21854 17.9945 0.035
2008bn B 54574.25853 18.2191 0.082
2008bn B 54579.26392 18.4248 0.045
2008bn B 54583.23617 18.6362 0.034
2008bn B 54586.4175 18.7358 0.053
2008bn B 54587.14797 18.8706 0.041
2008bn B 54590.3513 18.9129 0.068
2008bn B 54594.18012 19.0909 0.046
2008bn B 54597.23881 19.3149 0.075
2008bn r 54560.31017 17.4429 0.0205
2008bn r 54561.24678 17.4493 0.021
2008bn r 54564.27014 17.5118 0.0215
2008bn r 54566.30116 17.5501 0.021
2008bn r 54567.32725 17.5797 0.0215
2008bn r 54568.28456 17.585 0.024
2008bn r 54569.2896 17.5988 0.023
2008bn r 54570.26044 17.6122 0.0275
2008bn r 54572.21323 17.7113 0.0235
2008bn r 54574.25322 17.6699 0.042
2008bn r 54577.27804 17.7233 0.0255
2008bn r 54579.2586 17.7143 0.024
2008bn r 54583.23083 17.7307 0.0215
2008bn r 54586.41218 17.7512 0.0245
2008bn r 54587.14265 17.746 0.023
2008bn r 54590.35625 17.8173 0.0245
2008bn r 54594.17478 17.8431 0.0235
2008bn r 54597.23348 17.866 0.024
2008bn r 54603.273 17.874 0.0335
2008bn r 54605.16414 17.9081 0.028
