Name Band MJD Mag Magerr
2006it V 54016.16024 17.8894 0.043
2006it V 54019.14567 17.949 0.0325
2006it V 54021.10817 17.9178 0.0315
2006it V 54042.09423 18.0913 0.0565
2006it V 54045.08693 18.1165 0.04
2006it B 54016.17293 18.1719 0.065
2006it B 54019.14869 18.2277 0.0275
2006it B 54021.11119 18.2922 0.028
2006it B 54042.09722 19.1334 0.0795
2006it U 54016.16721 17.5111 0.1075
2006it U 54019.15425 17.859 0.0575
2006it U 54021.11677 18.1094 0.057
2006it U 54042.1028 18.8288 0.3415
2006it r 54016.15791 17.8646 0.0355
2006it r 54019.14337 17.8559 0.02
2006it r 54021.10586 17.8237 0.022
2006it r 54042.09192 17.8634 0.03
2006it r 54045.08463 17.869 0.024
